,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score_phrase,score,editors_choice,release_year,release_month,release_day
0,Wii Sports,Wii,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Good,7.5,N,2006,11,13
1,Mario Kart Wii,Wii,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,Great,8.5,Y,2008,4,20
2,Wii Sports Resort,Wii,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,Good,7.7,N,2009,7,16
3,New Super Mario Bros. Wii,Wii,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,Great,8.9,Y,2009,11,13
4,Wii Fit,Wii,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,Great,8.0,N,2008,5,19
5,Wii Fit Plus,Wii,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,Great,8.2,N,2009,10,2
6,Super Smash Bros. Brawl,Wii,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,Amazing,9.5,Y,2008,3,4
7,Super Mario Galaxy,Wii,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,Amazing,9.7,Y,2007,11,7
8,Just Dance 3,Wii,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,Great,8.0,N,2011,10,11
9,Just Dance 2,Wii,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,Great,8.0,N,2010,10,19
10,Wii Party,Wii,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,Good,7.0,N,2010,10,3
11,Mario Party 8,Wii,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,Mediocre,5.2,N,2007,5,29
12,The Sims 3,PC,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,Great,8.9,Y,2009,6,1
13,Mario & Sonic at the Olympic Games,Wii,Sports,Sega,2.58,3.9,0.66,0.91,8.06,Good,7.9,N,2007,11,6
14,Super Mario Galaxy 2,Wii,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,Masterpiece,10.0,Y,2010,5,20
15,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,Amazing,9.5,Y,2006,11,17
16,Just Dance,Wii,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,Painful,2.0,N,2009,12,3
17,Donkey Kong Country Returns,Wii,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,Amazing,9.0,Y,2010,11,19
18,World of Warcraft,PC,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,Amazing,9.1,Y,2004,12,10
19,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,Great,8.0,N,2007,11,9
20,Diablo III,PC,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,Amazing,9.5,Y,2012,5,14
21,Link's Crossbow Training,Wii,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,Good,7.0,N,2007,11,20
22,Animal Crossing: City Folk,Wii,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,Good,7.5,N,2008,11,16
23,Guitar Hero III: Legends of Rock,Wii,Misc,Activision,3.06,1.12,0.0,0.44,4.62,Great,8.6,Y,2007,10,29
24,Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,1.89,1.99,0.22,0.48,4.58,Okay,6.5,N,2009,10,14
25,Michael Jackson: The Experience,Wii,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42,Awful,3.5,N,2010,12,2
26,Excitebike,NES,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16,Great,8.4,N,2007,3,21
27,Half-Life,PC,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,Amazing,9.5,Y,1998,11,25
28,The Legend of Zelda: Skyward Sword,Wii,Action,Nintendo,2.14,1.2,0.37,0.4,4.1,Masterpiece,10.0,Y,2011,11,11
29,Carnival Games,Wii,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1,Okay,6.5,N,2007,9,17
30,World of Warcraft: The Burning Crusade,PC,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,Great,8.8,Y,2007,1,30
31,EA Sports Active,Wii,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92,Good,7.8,N,2009,5,26
32,The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88,Amazing,9.5,Y,2011,11,10
33,Big Brain Academy: Wii Degree,Wii,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82,Good,7.6,N,2007,6,8
34,Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,Sega,1.14,1.91,0.27,0.46,3.78,Good,7.5,N,2011,11,23
35,Just Dance 2014,Wii,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76,Good,7.7,N,2013,10,11
36,The Sims: Unleashed,PC,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76,Good,7.0,N,2002,10,3
37,Super Paper Mario,Wii,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76,Great,8.9,Y,2007,4,5
38,Mario Party 9,Wii,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32,Good,7.0,N,2012,3,9
39,Wii Music,Wii,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27,Mediocre,5.0,N,2008,10,17
40,Baseball,NES,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2,Mediocre,5.5,N,2007,1,16
41,LEGO Batman: The Videogame,Wii,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0.0,0.29,3.17,Good,7.7,N,2008,9,23
42,The Sims: Vacation,PC,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07,Great,8.0,N,2002,4,8
43,The Sims 4,PC,Simulation,Electronic Arts,0.96,1.72,0.0,0.29,2.97,Good,7.5,N,2014,9,2
44,Star Wars: The Old Republic,PC,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.97,Amazing,9.0,Y,2013,4,21
45,Cooking Mama: Cook Off,Wii,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91,Mediocre,5.8,N,2007,3,20
46,Battlefield 3,PC,Shooter,Electronic Arts,0.89,1.43,0.0,0.48,2.79,Amazing,9.0,Y,2011,10,24
47,Sonic and the Secret Rings,Wii,Platform,Sega,1.24,1.2,0.04,0.3,2.77,Okay,6.9,N,2007,2,20
48,Metroid,NES,Action,Nintendo,1.33,0.31,1.04,0.05,2.73,Great,8.0,N,2007,8,13
49,Skylanders Giants,Wii,Action,Activision,1.56,0.88,0.0,0.22,2.65,Great,8.0,N,2012,10,18
50,Mario Strikers Charged,Wii,Sports,Nintendo,1.07,1.06,0.24,0.25,2.62,Great,8.3,Y,2007,7,27
51,Deca Sports,Wii,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54,Bad,4.5,N,2008,6,5
